id;name;personalRating (1-10);personalNotes;signatureItem;insiderTip;timesVisited;;;;;;;
jellykiss-cafe;JellyKiss - Cafe in Bed;6;Cozy, chill coffee;Bed coffee;no;1;;;;;;;
nha-ba-teria;Nhà Ba Teria;7;Art, stylish coffee;Craft matcha;yes;2;;;;;;;
ca-re-cafe-q7;Cà Rề Cafe Q7;7;Student Work Coffee, dog friendly ;Dog friendly;yes;6;;;;;;;
xocoati;XOCOATI - Artisan Cocoa Drinks;6;Apartment Coffee;Mayan-style cocoa drink;yes;2;;;;;;;
ky-tra-cac;Kỳ Trà Các - Trà Đạo Sài Gòn;9;Drink Tea with tradition;Ancient tea from 200-500 year old trees;yes;4;;;;;;;
tiem-ca-phe-to-vo;Tiệm Cà Phê Tò Vò;6;Coffee at the river;River coffee;no;2;;;;;;;
duoi-tan-cay;Tiệm Cà Phê Dưới Tán Cây (Sunset View);8;Sunset coffee, dog friendly;Sunset coffee;yes;4;;;;;;;
ca-viet-hoa;Cà Viết Hoa Cafe;9;Old school coffee, dog friendly;Dog friendly;yes;8;;;;;;;
mamoru-cafe;Mamoru Cafe;7;Japanese Style coffee;Matcha latte;no;1;;;;;;;
nams-coffee;Nam's Coffee & Cake;10;Nature style coffee, dog friendly;Homemade cakes;yes;3;;;;;;;
thiba-space;ThiBa Space;9;Work coffee;Open till 3am;yes;7;;;;;;;
shibui-concept;Shibui Concept;8;Matcha Apartment Coffee;Matcha Eggnog;yes;2;;;;;;;
ac-coffee;A+C Coffee Experience;7;Good tasting coffee, work coffee;Arabica Coffee;yes;2;;;;;;;
zero-coffee-bar;0.coffee&bar;8;Coffee bar, dog friendly;Coffee at day, bar at night;yes;5;;;;;;;
seventh-barista;The Seventh Barista;7;Hidden Work Coffee;Quiet Place for Work, Good Coffee;yes;6;;;;;;;
thanh-coffee;Thành Coffee;8;Work Coffee;Open till 12pm;yes;5;;;;;;;
thuyen-cafe;thuyen.cafe;5;Instagram Coffee;Average Drinks;no;1;;;;;;;
shining-glory;Cafe Shining Glory;6;Clean Coffee for work;Avocado coffee;no;1;;;;;;;
gathering-coffee;Gathering Coffee;5;Instagram Coffee;Good Place for taking photos;no;1;;;;;;;
giang-cafe;giang;5;Instagram Coffee;Matcha latte;no;1;;;;;;;
bel-building-coffee;BEL by Building Coffee;7;Work Coffee, Connection with expats;Espresso tonic;yes;5;;;;;;;
workflow-q3;WorkFlow Quận 3;10;Work Coffee;Good Workplace for work;yes;10;;;;;;;
barista-collective;Barista Collective;9;Nature style work coffee, dog friendly;Matcha latte;yes;3;;;;;;;
every-half;Every Half Coffee Roasters;7;Good tasting coffee, work coffee;Single-origin pour-over;yes;10;;;;;;;
vit-quang-minh;Quán Vịt Quang Minh;7;Local Duck Restaurant, North style;Duck Salad, Roasted Duck;yes;2;;;;;;;
xo-cajun;Xô Cajun;8;Student Style Cajun Restaurant;Cajun seafood (pick your sauce);yes;8;;;;;;;
bun-dau-46;Bún Đậu 46;9;North Style Bun Dau;Bún đậu mắm tôm;yes;3;;;;;;;
banh-trung-thu-kita;Bánh Trung Thu Kim Tân KiTa;8;Traditional Vietnamese Bakery;Mooncakes;yes;5;;;;;;;
chay-tue;Ẩm Thực Chay Tuệ;5;Good Vegetarian Restaurant;Pad Thai;yes;3;;;;;;;
bo-nuong-347;Quán Bò Nướng 347;6;Local style Bo La Lot, Street food ;Bò lá lốt (beef in betel leaf);yes;4;;;;;;;
tran-pizza;Trần Pizza;8;Very good pizza;Neapolitan pizza;yes;5;;;;;;;
lau-tru-danh;Lẩu Trứ Danh Sài Gòn;6;Local Hotpot Shop;Hotpot;yes;2;;;;;;;
ha-ky;Hủ Tiếu Gà Cá Hà Ký;8;Chinese style homemade noodle shop;Hủ tiếu gà (chicken noodle soup);yes;10;;;;;;;
aoya-ramen;Aoya Ramen;5;Ramen on the street;Street cart ramen;yes;1;;;;;;;
bep-ong-lap;Bún Bò Thố Đá Bếp Ông Lập;8;Very tasty bun bo chain, clean;Bún bò thố đá (stone pot beef noodle);yes;6;;;;;;;
maguro-studio;MAGURO Studio;9;Fresh Sushi, High End Restaurant;Fresh sushi;yes;2;;;;;;;
sono;Sóno;8;High End European Cuisine;Steak;yes;1;;;;;;;
ba-hi-saigon;Ba Hí Sài Gòn;6;Local burger, sandwich shop street food style;Korean-American fusion sandwich;yes;2;;;;;;;
burger-boss;Burger Boss;7;Tasty burger;Smash burger with Aussie beef;no;1;;;;;;;
cai-lo-nuong;Tiệm Bánh Cái Lò Nướng;7;Very Tasty homemade bakery;Low-sugar homemade cakes;yes;1;;;;;;;
tien-phat;Tiến Phát - Điểm Tâm Hồng Kông;9;Traditional Hong Kong Style Restaurant;Hong Kong dim sum;yes;7;;;;;;;
bo-cay-me;Quán Bò Cây Me;7;Local grilled beef restaurant;Grill beef;yes;2;;;;;;;
tony-scooter;TONY SCOOTER;7;Vespa Reparatur ;Vespa/Piaggio specialist;yes;1;;;;;;;
dolphy-cafe-duong-van-an;Dolphy Café 113 Dương Văn An Coffee;6;Relax coffee place for work or chill, dog friendly;Pure coffee;no;4;;;;;;;
logan-station-gentlemen-cafe;LOGAN STATION - The Gentlemen Café;6;Old school style coffee;Jazz atmosphere coffee;no;1;;;;;;;
ticos-coffee-phan-van-tri;Ticos Coffee;5;Student rustically style work coffee;Industrial style coffee;no;4;;;;;;;
chidori-coffee-in-bed-dinh-tien-hoang;Chidori - Coffee in Bed;8;Bed In coffee, perfect for nap, need pre reservation;Loft style coffee in bed concept;yes;9;;;;;;;
bac-viet-coffee-saigon;Bắc Việt Coffee;8;Local chill coffee, open till 3am;Classic 70s style coffee;yes;10;;;;;;;
unique-cafe-apartment;Unique Cafe;6;Good coffee for work;Cafe Apartment concept;yes;4;;;;;;;
the-running-bean-mac-thi-buoi;The running bean;8;Good coffee for work, clean, with food;Smoothie bowls and brunch;no;10;;;;;;;
fin-saigon-cafe;Fin Saigon Cafe;7;Local coffee for chill;Apartment cafe;yes;4;;;;;;;
the-fig-cafe-district-7;The Fig Cafe;8;Good nature style coffee for work, dog friendly in outside space;Unique architecture;yes;15;;;;;;;
okkio-coffee-le-loi;Okkio Coffee;8;Good coffee for work;Specialty coffee Indochine architecture;yes;10;;;;;;;
song-ca-phe-binh-thanh;Sống Cà Phê;7;24/7 open for work, student style;Community connection coffee;yes;15;;;;;;;
audiophile-cafe-phu-nhuan;Audiophile cafe;6;Rustical style coffee for chill;Audiophile music experience;yes;2;;;;;;;
cafe-linh-1975-district-1;Café Linh;7;Young local old school coffee;Rustic nostalgic 1975 decor;yes;3;;;;;;;
kafka-cafe-saigon-district-1;KAFKA CAFE SAIGON;6;Good coffee for work;Health-conscious coffee and pastries;yes;3;;;;;;;
la-viet-coffee-district-3;Là Việt Coffee;6;Good tasting coffee, good for work;Vietnamese coffee specialty;yes;2;;;;;;;
cu-tren-cay-coffee-binh-thanh;Cú Trên Cây Coffee;8;Nature style coffee for work, dog friendly;Coffee and plants garden;yes;20;;;;;;;
the-little-bean-coffee-truong-son;The Little Bean Coffee - Trường Sơn;6;Student Work Coffee;Modern industrial workspace coffee;no;2;;;;;;;
go-cafe-hoang-sa-district-1;Gờ cafe - Hoàng Sa;6;Local style coffee;Waterfront coffee;no;3;;;;;;;
cafe-slow-district-3;Café Slow;7;Relax work coffee;Slow coffee experience;yes;7;;;;;;;
saigon-coffee-roastery-district-3;Saigon Coffee Roastery;8;Nature style coffee for work, dog friendly outside;Specialty roastery coffee;yes;7;;;;;;;
trung-nguyen-cafe-legend-airport;Trung Nguyen Café Legend (Near airport);6;Good work coffee near airport;Vietnamese legend coffee chain;yes;8;;;;;;;
starbucks-midtown-district-7;Starbucks Midtown;6;Good coffee for work at river;International coffee chain;no;3;;;;;;;
king-koi-coffee-quan-2;King Koi Coffee Quận 2;6;Instagram Coffee for Photos;Coffee with koi fish ponds;yes;4;;;;;;;
soo-coffee-bakery-pkb;soo coffee & bakery _ PKB;8;Tasty Bakery;Coffee bakery and ice cream;yes;3;;;;;;;
epic-coffee-roaster-district-3;Epic Coffee Roaster;6;Good coffee for work;Specialty roasted coffee;yes;6;;;;;;;
tron-de-dung-chan-district-10;TRỐN để dừng chân;7;Nature style coffee;Escape pause rustic green cafe;yes;3;;;;;;;
bosgaurus-coffee-roasters-saigon-pearl;Bosgaurus Coffee Roasters - Saigon Pearl;8;Good Coffee, ideal for work;Multi-story specialty roastery;yes;10;;;;;;;
mi-coffee-tea-district-12;Mị COFFEE & TEA;6;Nature style coffee;Eco-friendly coffee and tea;yes;3;;;;;;;
lacaph-coffee-bar-district-1;Lacàph Coffee Bar;6;Coffee mix with a Bar, social connections;Vietnamese coffee experiences;yes;2;;;;;;;
sol-retreat-cafe-phu-nhuan;Sol Retreat Cafe;6;Good coffee for work;Retreat style coffee;yes;7;;;;;;;
the-hummingbird-cafe-roastery-district-3;The Hummingbird Café & Roastery;7;Good coffee for work;Specialty coffee in old villa;yes;3;;;;;;;
soko-cake-bake-brunch-ho-tung-mau;SOKO Cake Bake & Brunch - Hồ Tùng Mậu;8;Very tasty food, good for work;Brunch cafe bakery;yes;5;;;;;;;
the-joi-factory-vegetarian-district-1;The Joi Factory (Vegetarian Café Restaurant);6;Good Vegetarian Restaurant;Plant-based Vietnamese dishes;no;3;;;;;;;
mi-sui-cao-kon-lou;Mì sủi cảo KON LOU;6;Good Wonton Noodles;Wonton noodles;no;3;;;;;;;
cha-ca-de-vuong;Chả Cá Đế Vương;6;Grilled fish Hanoi style;Hanoi-style grilled fish (chả cá);no;2;;;;;;;
the-cajun-cua;The Cajun Cua;7;More expensive Cajun Restaurant, good quality;Cajun-style crawfish;yes;5;;;;;;;
dau-homemade;Đậu Homemade;8;Good Bun Dau, clean;Bún đậu mắm tôm;no;10;;;;;;;
nem-nuong-dran;Nem nướng D'ran - Since 1968;7;Good Nem Nuon with self roll ;Dalat-style grilled spring rolls (nem nướng);yes;3;;;;;;;
bun-bo-hoa-lam;Bún Bò Hoa Lâm số 1;8;Good local bun bo shop;Bún bò Huế;yes;10;;;;;;;
banh-uot-ban-me;Bánh Ướt Ban Mê Giang Vương;8;Self roll Banh Uot, very good tasting;Bánh ướt (rice rolls) with grilled meat;yes;10;;;;;;;
quan-pho-ha;Quán Phở Hà;7;Pho Ga open till 3AM;Hanoi-style phở gà;yes;15;;;;;;;
pho-viet-nam-vo-quoc;Phở Việt Nam by Võ Quốc;7;Good Pho Bo;Fresh rice noodle phở;yes;3;;;;;;;
bun-cha-ha-noi-truong-van-bang;Bún Chả Hà Nội - Trương Văn Bang;7;Good Bun Cha Ha Noi;Bún chả Hà Nội;yes;2;;;;;;;
kim-thao-trung-vit-lon;Kim Thao Trung vit lon;6;Balut Egg, loved by locals;Hột vịt lộn (balut);yes;10;;;;;;;
bo-ne-ba-nui;Bò Né Bà Nũi;7;Local Bo Ne Shop in Center;Bò né (sizzling beef and eggs);yes;5;;;;;;;
banh-mi-362;Bánh Mì 362;7;Good Banh Mi, clean environment;Bánh mì with various fillings;yes;21;;;;;;;
con-ga-mai;Con Gà Mái;6;Good boiled Chicken in middle style;Cơm gà Phú Yên;yes;6;;;;;;;
com-tam-hong-calmette;Quán Cơm Tấm Hồng Calmette;8;Good Late night com tam;Cơm tấm sườn;yes;10;;;;;;;
com-ga-hai-nam-yummy;Cơm Gà Hải Nam Yummy;8;Tasty Chicken Rice;Hainanese chicken rice;yes;30;;;;;;;
bun-quay-kien-xay;Bún Quậy KIẾN - XÂY Quận 1;8;Fresh noodle with fish or shrimp cake;Bún quậy Phú Quốc;yes;10;;;;;;;
a-xiu-quan-an-ngon;A Xỉu - Quán Ăn Ngon;8;Good com tam owned by young people;Cơm tấm;yes;6;;;;;;;
banh-mi-pewpew;Bánh Mì PewPew;6;Good Banh Mi, clean environment;Bánh mì with various fillings;yes;8;;;;;;;
muc-280;Mực 280;7;Local saigon style drink and eat;Grilled squid;yes;4;;;;;;;
banh-xeo-46a;Bánh Xèo 46A;7;Good Banh Xeo Spot;Bánh xèo (Vietnamese sizzling crepes);yes;3;;;;;;;
com-ga-dong-nguyen;Cơm Gà Đông Nguyên;7;Good Chicken Rice;Hainanese chicken rice;yes;2;;;;;;;
banh-mi-tho-nhi-ky;Bánh Mì Thổ Nhĩ Kỳ Minh Tuấn;8;Very Good banh mi with doner style;Turkish doner kebab;yes;20;;;;;;;
tat-corner-bun-cha;T.A.T CORNER - BÚN CHẢ HÀ NỘI;6;Tasty Bun Cha ha Noi;Bún chả Hà Nội;yes;2;;;;;;;
mi-trung-long-dao;Mì trứng lòng đào - kỳ đồng;6;Good Noodle spot;Mì trộn trứng lòng đào (noodles with duck egg yolk);yes;9;;;;;;;
hu-tieu-tan-vinh-nguyen;Hủ tiếu Tân Vinh Nguyên;6;Good Hu Tieu Spot;Hủ tiếu Nam Vang;yes;3;;;;;;;
banh-canh-van-thanh;Bánh Canh Văn Thánh;7;Good Banh Canh Spot;Bánh canh;yes;3;;;;;;;
fruit-smoothies-567;Fruit smoothies plate 567;7;Good Che Spot, Vietnamese dessert;Fresh fruit smoothies;yes;4;;;;;;;
kute-donuts;Kute Donuts;9;Mochi Donuts;Japanese mochi donuts;yes;15;;;;;;;
hoang-ty-restaurant;Hoang Ty Restaurant;7;Vietnamese self rolling summer rolls;Vietnamese home-style dishes;yes;7;;;;;;;
rau-oi-quan-chay;Rau Ơi Quán Chay;7;Good Vegetarian Restaurant;Vietnamese vegetarian dishes;yes;3;;;;;;;
hum-garden;Hum Garden - Healthy Veggies Delights;8;Premium Vegetarian Restaurant, expensive;Plant-based Vietnamese fusion;no;10;;;;;;;
cuc-gach-restaurant;Cuc Gach Restaurant;7;Local Vietnamese Restaurant;Family-style Vietnamese cuisine;yes;2;;;;;;;
babas-kitchen;Babas Kitchen;7;Good Indian Food;Indian cuisine;yes;11;;;;;;;
meet-and-meat;Meet & Meat;6;Cheap Korean BBQ;Korean BBQ buffet;yes;5;;;;;;;
coco-ichibanya;CoCo Ichibanya;8;Tasty Japanese Curry Chain;Japanese curry rice;no;10;;;;;;;
matchandeul-bbq;Matchandeul BBQ;8;Good Quality Korean BBQ;Premium Korean BBQ;yes;20;;;;;;;
yen-sushi-premium;Yen Sushi Premium;9;Premium Sushi Restaurant;Omakase sushi;yes;8;;;;;;;
hokkaido-sushi;Sushi Hokkaido Sachi;8;Good Quality Sushi Restaurant;Hokkaido sushi;yes;37;;;;;;;
yakitori-hachibei;YAKITORI HACHIBEI;8;Premium Japanese Yakitori Restaurant;Hakata-style yakitori;yes;1;;;;;;;
bonchon-vietnam;Bonchon Chicken;7;Good Korean Fried Chicken Chain;Korean fried chicken;yes;14;;;;;;;
pizza-4ps;Pizza 4P's;10;Italian Japanese Fusion Kitchen;Wood-fired Japanese-Italian pizza;yes;57;;;;;;;
unagi-yosakura;Unagi Yosakura;8;Tasty Japanese Eel rice;Unagi three-way (eel rice bowl);yes;8;;;;;;;
chucks-burger;Chuck's Burgers;10;Best American Burger;American-style burgers;yes;36;;;;;;;
marcel-burger;Marcel Gourmet Burger;8;Good Quality Burger;French gourmet burgers;yes;7;;;;;;;
danbo-ramen;Ramen DANBO;8;Good Quality Ramen;Tonkotsu ramen;yes;36;;;;;;;
uraetei-yakiniku;Phổ Đình Thảo Điền - Uraetei Yakiniku;8;Good Japanese BBQ;Japanese BBQ yakiniku;yes;8;;;;;;;
gyumaru;GYUMARU;7;Good Japanese Hamburger;Wagyu beef and hamburger steak;yes;4;;;;;;;
manmaru-osaka;MANMARU OSAKA RESTAURANT;7;Japanese Drink and Eat Restaurant;Osaka-style izakaya dishes;yes;7;;;;;;;
pasta-fresca;Pasta Fresca;7;Good Italian Pizza;Fresh Italian pasta;no;14;;;;;;;
coco-thai;Coco Thai Restaurant;6;Good Thai Dishes;Authentic Thai cuisine;no;3;;;;;;;
somtam-zaap;Somtam ZAAP;7;Tasty Thai Dishes;Thai ISAN papaya salad;yes;6;;;;;;;
som-tum-thai;Som Tum Thai - Lê Thánh Tôn;6;Premium Thai Dishes;Som tum (papaya salad);no;8;;;;;;;
sushi-cobeya;Sushi Cobeya;7;Good Price Quality Sushi;Japanese sushi;yes;6;;;;;;;
hem-kitchen-thai;Hẻm Kitchen - Bếp Hẻm - Thai Food;7;Good Thai Food;Authentic Thai cuisine;yes;9;;;;;;;
sushi-haru;Sushi Haru;7;Affordable Sushi;Affordable Japanese sushi;yes;7;;;;;;;
izakaya-unatoto;Izakaya Unatoto Việt Nam;8;Japanese izakaya dishes;Japanese izakaya dishes;yes;17;;;;;;;
izakaya-ten;Izakaya Ten;6;Japanese Drinks and Food;Yakitori and sake;no;11;;;;;;;
pi-thai-hu-tieu;Pi Thai - Hủ Tiếu Thái Lan;7;Affordable Thai Hu Tieu;Thai-style noodle soup;yes;3;;;;;;;
bbq-plan-k;BBQ Plan-K;7;Good Korean BBQ;Korean BBQ;no;5;;;;;;;
la-haye-kitchen;La Haye Kitchen & Bar - DIAMOND;7;Good European Food;French cuisine;yes;9;;;;;;;
belgo-brewery;Belgo Belgian Craft Beer Brewery;8;Premium European Food and Drinks;Belgian craft beer and food;no;10;;;;;;;
the-gangs;The Gangs Central;8;Party Nhau restaurant in vietnam;Craft beer and grill;yes;3;;;;;;;
hoa-vien-brewery;Hoa Viên Craft Brewery;7;Czech Vietnamese food with drinks near center;Czech-style craft beer;yes;3;;;;;;;
atm-cocktail-bar;The ATM Cocktail Bar & Kitchen;8;Relax cozy cocktail bar in center;Craft cocktails and jazz;yes;9;;;;;;;
climb-hidden-cocktails;CLIMB - Hidden Cocktails Bar;7;Hidden Cocktail bar in center;Creative cocktails;yes;7;;;;;;;
asmr-bar;ASMR Bar;7;Premium Cocktail bar ;Cocktails and craft beer;no;4;;;;;;;
passengers-fruity-nutty;Passengers - fruity & nutty drinks;7;Nature style relax coffee;Fruity and nutty cocktails;yes;3;;;;;;;
esta-saigon;Esta Saigon;7;Premium asian fusion kitchen;Asian fusion cuisine;no;2;;;;;;;
song-vie;Bistro Song Vie;8;Vietnamese food on the river;Vietnamese-French fusion;yes;3;;;;;;;
the-street-cmt8;The Street;7;Premium Vietnamese nhau;Vietnamese street food;yes;3;;;;;;;
peoc-pet-homecoming;PEOC Pet Homecoming;8;Very good haircut for dog;Pet grooming and boarding services;yes;30;;;;;;;
ca-canh-trung-tin;Cá Cảnh Thủy Sinh Trung Tín;9;Good Place to buy aquarium stuff;Over 300 types of aquarium fish and 100+ aquatic plants;yes;11;;;;;;;
khoe-spa;Khoe Spa Thi Sách;10;Best strong massage in saigon;Thai massage and foot massage;yes;206;;;;;;;
huong-sen-spa;Huong Sen Spa Thanh Binh;9;Good medical massage;Traditional medical therapy and herbal bathing;yes;31;;;;;;;
co-hai-duong-sinh;Cô Hai - Dưỡng Sinh Trung Hoa Gò Vấp;9;Best Hair wash and massage in saigon, need reserve before;Chinese-style head nourishing massage;yes;107;;;;;;;
tript-gaming;PS5 PES Bình Thạnh - TripT Gaming Zone;8;Very relax place to play PS5 and Nintendo games;PS5 gaming and food & beverage;yes;36;;;;;;;
tony-barber-house;Tony Barber House Quan 1;9;Best Men Haircut in Saigon;Professional barber services and grooming;yes;203;;;;;;;
golden-lotus-healing;Golden Lotus Healing World;10;Best Korean Spa and Massage;Korean Jjim Jil Bang sauna experience;yes;101;;;;;;;
hai-vespa;HẢI VESPA;8;Good Vespa Specialist;Vespa and Piaggio motorcycle repairs;yes;2;;;;;;;
misa-dog-vet;Phòng khám thú y Misa Dog;7;Pet vet for serious cases;Veterinary care for pets;yes;26;;;;;;;
mozzi-pet-shop;Mozzi Pet Shop - Quận Phú Nhuận;7;Pet Hotel and pet shop + spa;Pet supplies and accessories;yes;5;;;;;;;
jojo-korea-salon;JOJO KOREA HAIR SALON;7;Premium Hair cut for women;Korean hair styling and treatments;yes;3;;;;;;;
30shine;30shine;6;Average Hair wash and Hair cut chain shop;Quick haircuts and grooming services;no;4;;;;;;;
fahasa-nguyen-hue;Fahasa;8;Good Book shop in Saigon;Books, stationery, and souvenirs;yes;9;;;;;;;
mint-head-spa;Mint - gội đầu siêu thư giãn;7;Good Place for hair wash with massage;Super relaxing head wash experience;yes;5;;;;;;;
geek-hub;GEEK Hub Nguyen Dinh Chieu;7;Good Place for work;Geek-themed coworking space;yes;8;;;;;;;
wind-gaming;Win.D Gaming;8;Good Place for playing Computer Games in LAN style;Modern gaming rooms with Gen Z focus;yes;48;;;;;;;
cellphones;Cellphone S;7;Good Place for phone / laptop accessory ;Mobile phones and electronics retail;no;103;;;;;;;
nguyen-kim;Nguyễn Kim;7;Good electronics market;Large-scale electronics and appliances;no;46;;;;;;;
petbuddy-sala;PetBuddy;7;Average Pet Spa near Center;Pet food, accessories, spa, and hotel;no;31;;;;;;;
vuon-sai-gon;Vườn Sài Gòn - siêu thị vật tư làm vườn;8;Good Place for buying plants;Agricultural and garden supplies;yes;8;;;;;;;
5ku-farm;5ku Farm;7;Remote Place for Nhau (eat and drink) Vietnamese style;Farm-to-table dining experience;yes;18;;;;;;;
bro-detailing;Bro Detailing;10;Best Car Wash in Saigon;Professional car detailing services;yes;23;;;;;;;
miumiu-spa;Miumiu Spa 5;8;Good Shiatsu Japanese Massage near Center;Professional spa and massage services;yes;10;;;;;;;
rebi-beauty;Rebi Beauty;7;Good Place for taking out pimples;Acne treatment and skincare;yes;3;;;;;;;
temple-leaf-spa;Temple Leaf Sauna & Spa;7;Good Sauna and Massage;Vietnamese traditional massage and hot/cold spa;no;5;;;;;;;
hum-spa;Hum Spa;7;Good Massage near Center;Traditional Oriental massage;no;3;;;;;;;
bo-ke-thanh-da;Bờ kè Thanh Đa;6;Local Riverside Coffee;Riverside walk with street food;yes;2;;;;;;;